	fluxes
ALAR	0.053069359601607684
ALATA_L	-0.10858854451331176
CO2t	-7.690095548034269
ALCD19y	0.0
EX_o2_e	-5.699074904004912
ASAD	-0.16659564974454397
ASNS1	0.022282870200690363
ASPCT	0.01836616116773232
ASPK	0.166595649744544
ASPO6	0.0026070236889374518
ASPTA	-0.31615018212771673
ATPPRT	0.012307699509647668
ATPS4r	19.426618142780885
EX_pi_e	-0.23109757765107747
DDPA	0.04327412383653701
CTPS1	0.008629197215507861
CYOR3m	11.377176623153154
CAT	0.010486592428334888
CAt4	-0.00048258697718862214
CYOO3	11.377176623153154
CYSTGL	0.008581164377528728
CYSTS	0.00858116437752873
DCYTD	0.0
CBPS	0.047429943047272105
CYTDK1	4.0052460509265434e-05
CDGPT_BS	0.003131921724032243
CDPDSP_BS	0.008432096949317576
CDPMEK	0.000280367223564858
CHORM	0.0431788110263778
CHORS	0.04327412383653702
CYTK1	0.08113423913897302
CYTK2	0.0
CYTOM	-4.0052460509265434e-05
CITt10	0.015315398376837286
CLPNS2_BS	7.528657990462124e-05
CITt2r	0.7476262335224529
DAPDC	0.04898039487382791
DAPE	0.06431130228612558
FRTT	4.0052460509265434e-05
DGK1	0.0026196718343612004
DGNSK	0.0026196718343612004
DHAD1	0.10904432946805448
G3POA_BS	0.016201671995474492
DHAD2	0.05716615413369757
DHDPRy	0.06431130228612555
DHDPS	0.06431130228612555
G5SADs	0.024188373538076333
DHFR	0.0035432875966310445
DHFS	5.5260349649936625e-05
DHNAOT7	4.005246050926543e-05
GGTT	4.0052460509265434e-05
GCALDD	5.526034964993662e-05
GAPD	4.069871875542563
DHNPA_1	5.526034964993661e-05
DHORTS	-0.018366161167732323
DHORDi	0.01836616116773232
GK1	0.009518331724181399
FE3t	0.0005194774013418864
DHQTi	0.04327412383653702
GLYt2r	0.0
DHQS	0.04327412383653701
H2Ot	-6.510076915885752
HCO3E	0.20069776012446083
FTHFD	0.0011354721981018075
FUM	1.6998693961452753
G1PACT	0.04923350835546725
GRTT	4.005246050926544e-05
G3PCT	0.0694066980140703
G3PD1ir	0.08866500515367243
G5SD	0.024188373538076336
GLNS	0.2375762889981397
GLUPRT	0.027426901059273274
GLU5K	0.024188373538076336
GLUDxi	0.0018910278044608714
GALUi	0.03788646560540255
DMATT	4.005246050926544e-05
GAPDi_nadp	1.1399244833837985
GLUR	-0.015330907412297637
GLUt4	0.0
GLUt2r	1.0000000000000002
GARFT	0.027426901059273274
GF6PTA	0.049233508355467255
DMPPS	4.0052460509265434e-05
GHMT2r	0.0889041153314693
GLYCTO1	0.0
GLYCLTt2r	-5.526034964993662e-05
GLYK	7.528657990462127e-05
GMPS2	0.012213741857926647
IMPC	-0.03973460056892094
DRPA	-0.002579619373851935
IPDPS	0.00024031476305559266
DTMPK	0.003447974786471843
HXPRT	0.0
GTPCI	5.526034964993663e-05
GUAPRT	-0.002619671834361201
DURIPP	0.0
HACD2	0.004212434718823368
HACD1_1	0.004212434718823368
HEXTT	4.005246050926542e-05
DXPRIi	0.00028036722356485804
HISTD	0.01230769950964767
DXPS	0.00028036722356485804
HISTP	0.012307699509647671
ECOAH1_1	0.004212434718823368
ECOAH2	0.004212434718823368
Kt1	0.10635162965118565
HPPK	5.5260349649936625e-05
ECOAH2c	1.077458277260321e-16
HSDy	-0.10228434745841841
HSK	0.028054339416178627
HSST	0.0742300080422398
ECOAH3	0.004212434718823369
HSTPTr	0.012307699509647673
ECOAH4	0.004212434718823369
ICDHyr	0.7629416318992902
IG3PS_1	0.012307699509647671
IGPDH_1	0.012307699509647671
IMPD	0.012213741857926648
ILETA	-0.04064044869831358
ECOAH5_1	0.004212434718823369
ECOAH6	0.004212434718823369
LIPO1S24_BS	1.0540121186646974e-06
IPMD	0.06091422122766925
ECOAH7	0.0032403343990948996
IPPS	0.06091422122766925
LIPO2S24_BS	9.034389588554549e-07
LIPO4S24_BS	2.2585973971386373e-06
IPPMIa	-0.06091422122766925
IPPMIb	-0.06091422122766924
KARA1	-0.10904432946805448
KARA2	0.05716615413369758
LYSLG_BS	0.0003312609515803334
KAS1	0.00032403343990948974
ENO	2.7914741408986132
MECDPS	0.00028036722356485804
LEUTA	-0.052165318350113
METS	0.01706385390854221
O2t	5.699074904004912
LIPO3S24_BS	2.7103168765663647e-06
OMCDC	0.06091422122766925
PAP_BS	0.0046376533221246675
MTHFC	0.06835223417594598
MTHFD	0.06835223417594598
PGPPH_BS	0.003131921724032243
MTHFR3	0.01706385390854221
MCSNAH	-4.005246050926543e-05
NADK	0.00017315913378063283
NADH4	9.761318768657684
MDH	0.31615018212771673
ORNTAC_1	0.029063781879539792
ME2	1.3837192140175585
NADS1	0.0026070236889374518
MECDPDH2	0.0002803672235648581
MEPCT	0.00028036722356485804
NDPK7	0.002616961517484634
NDPK3	0.0784794837583763
NDPK4	0.003447974786471843
NDPK5	0.0026196718343612004
NDPK1	0.03701208726641003
NDPK2	0.10199810788162102
PPTGS_BS	0.015330907412297642
PPTT	4.005246050926544e-05
PGI	1.6385627664223366
PYNP1	4.0052460509265434e-05
PHETA1	-0.026491691163678308
NDPK8	0.0034604723587360105
PYNP2r	0.0
NH4t	0.18979538042493588
PTAr	3.2609685394772603
NNATr	0.0026070236889374518
SO4t2	0.025645018286070947
PIt2r	0.23109757765107744
NNDPR	0.0026070236889374518
NPHS	4.005246050926543e-05
QULNS	0.0026070236889374518
PPA	0.3843534994485721
OCBT_1	0.02906378187953979
PPM	-4.005246050926543e-05
PPM2	-0.002579619373851935
PPND	0.01668711986269949
RNDR4	0.003488027246981108
RPE	-0.05317681864667152
RPI	-0.05317681864667152
SADT	0.025645018286070943
PPNDH	0.02649169116367831
PRAGSr	0.027426901059273274
PRAIS_1	0.027426901059273267
PRATPP	0.01230769950964767
PRASCSi	0.027426901059273267
PRFGS_1	0.02742690105927327
PRMICI	0.012307699509647668
OMPDC	0.018366161167732323
SHK3Dr	0.04327412383653701
SHKK	0.043274123836537004
PRPPS	0.05808811359122952
SHSL2	0.02564501828607094
SHSL4r	0.048584989756168845
PSCVT	0.04327412383653701
PSDC_BS	0.008432096949317576
PSERT	0.1384732512601513
ORPT	-0.018366161167732323
PYK	1.0131457537855018
OIVD1r	0.008748902877556228
SUCBZL	4.0052460509265434e-05
SUCBZS	4.005246050926543e-05
SUCD1	1.6158578544954678
OIVD2	0.0019442006394570469
SUCD5_BS	1.6158578544954678
SUCOAS	-1.5416278464532278
OIVD3	0.016525705435383984
P5CR	0.024188373538076333
TMDPP	4.005246050926542e-05
UAGDP	0.04923350835546725
TYRTA	-0.01668711986269949
TECA1S45	0.0005456771311486947
SULR_1	-0.025645018286070943
TALA	-0.004951347405067262
TECA4S_BS	0.00046858367332636267
THRS	0.028054339416178627
TKT1	-0.004951347405067263
TKT2	-0.04822547124160427
TMDS	0.003488027246981108
TPI	1.4448804105775874
TRDR	0.0352104794092727
TRPt2r	0.008181543211395
UAAGDS	0.015330907412297638
UAG2E	0.0011729649149139988
UAGPT3	0.015330907412297637
UAG4E	0.014057510199790879
UAGCVT	0.015330907412297638
UAMAGS	0.015330907412297638
UAMAS	0.015330907412297638
UAPGR	0.01533090741229764
UDCPDP	0.015330907412297638
UGMDDS	0.015330907412297637
UGT1_BS	0.0012949291743594852
UGT2_BS	0.0009937828547410005
UGT_BS	0.0023489412930241824
ACLS	0.11162394884190643
ACHBS	0.05716615413369757
3NUCLE1	0.0
NTD5	4.005246050926544e-05
XPPT	0.0
URIDK2r_copy2	-0.003488027246981108
VALTA	-0.04618590760092818
UMPK	0.04892754369473484
GLXO1	0.0
FACOAL140_ISO	0.00032403343990948985
FACOAL150_ISO	0.0064806687981897974
ACOAD3	-0.004212434718823368
ACOAD4_1	-0.004212434718823369
ACOAD5_1	-0.004212434718823369
ACOAD6	-0.004212434718823369
ACOAD7	-0.0032403343990948996
DADNK	0.0
GLCpts	1.6764492320277393
HACD3	0.004212434718823368
HACD4	0.004212434718823368
HACD5	0.004212434718823368
HACD6	0.004212434718823368
HACD7	0.0032403343990948987
ICHORS	4.005246050926543e-05
FACOAL170_ISO	0.0022682340793664293
FACOAL170_anteiso	0.005508568478461328
FACOAL180_2	0.0009721003197284697
KAS13	0.0009721003197284696
FACOAL150_anteiso	0.011017136956922656
FACOAL160_ISO	0.0016201671995474494
KAS3	0.006480668798189798
KAS4	0.011017136956922656
KAS6	0.0016201671995474494
KAS11	0.0022682340793664293
PUNP1	0.0
PUNP2	0.0
KAS12	0.005508568478461328
PAPPT3	0.015330907412297637
PDH	3.6198152468004468
PUNP4	-0.002619671834361201
PFK	1.5361524394201973
PRAMPC_1	0.01230769950964767
PSP_L	0.1384732512601513
PGAMT	-0.04923350835546725
TECA2S45	0.0003533952060722921
RNDR1	0.00346047235873601
PGMT	-0.03788646560540255
PGCD	0.13847325126015134
RNDR3	0.002616961517484634
TECA3S45	0.00027389257769301205
PGK	-2.9299473921587644
PGM	-2.7914741408986132
PHCYT_BS	0.011564018673349821
