	fluxes
CHORM	0.0
CHORS	0.0
CYTK1	0.0
CYTOM	0.0
CITt10	0.0
CLPNS2_BS	0.0
DAPDC	0.0
DAPE	0.0
FRTT	0.0
DGK1	0.0
DGNSK	0.0
DHAD1	0.0
G3POA_BS	0.0
DHAD2	0.0
DHDPRy	0.0
DHDPS	0.0
G5SADs	0.0
DHFR	0.0
DHFS	0.0
DHNAOT7	0.0
GGTT	0.0
GCALDD	0.0
GAPD	0.5624999999999979
DHNPA_1	0.0
DHORTS	0.0
DHORDi	0.0
GK1	0.0
FE3t	0.0
DHQTi	0.0
GLYt2r	0.0
DHQS	0.0
H2Ot	-1.1249999999999984
HCO3E	0.0
FTHFD	0.0
FUM	0.562500000000001
G1PACT	0.0
GRTT	0.0
G3PCT	0.0
G3PD1ir	0.0
G5SD	0.0
GLNS	0.0
GLUPRT	0.0
GLU5K	0.0
GLUDxi	0.5625000000000009
GALUi	0.0
DMATT	0.0
GLUR	0.0
GLUt2r	0.5625000000000009
GARFT	0.0
GF6PTA	0.0
DMPPS	0.0
GHMT2r	0.0
GLYCTO1	0.0
GLYK	0.0
GMPS2	0.0
IMPC	0.0
DRPA	0.0
IPDPS	0.0
DTMPK	0.0
GTPCI	0.0
DURIK1	0.0
GUAPRT	0.0
HACD2	0.0
HACD1_1	0.0
HEXTT	0.0
DXPRIi	0.0
HISTD	0.0
DXPS	0.0
HISTP	0.0
ECOAH1_1	0.0
ECOAH2	0.0
Kt1	0.0
HPPK	0.0
ECOAH2c	0.0
HSDy	0.0
HSK	0.0
HSST	0.0
ECOAH3	0.0
HSTPTr	0.0
ECOAH4	0.0
ICDHyr	0.0
IG3PS_1	0.0
IGPDH_1	0.0
IMPD	0.0
ILETA	0.0
ECOAH5_1	0.0
ECOAH6	0.0
LIPO1S24_BS	0.0
IPMD	0.0
ECOAH7	0.0
IPPS	0.0
LIPO2S24_BS	0.0
LIPO4S24_BS	0.0
IPPMIa	0.0
IPPMIb	0.0
KARA1	0.0
KARA2	0.0
LYSLG_BS	0.0
KAS1	0.0
ENO	0.562499999999998
MECDPS	0.0
LEUTA	0.0
METS	0.0
O2t	1.9687500000000004
LIPO3S24_BS	0.0
OMCDC	0.0
PAP_BS	0.0
MTHFC	0.0
MTHFD	0.0
PGPPH_BS	0.0
MTHFR3	0.0
MCSNAH	0.0
NADK	0.0
NADH4	3.3750000000000004
MDH	0.562500000000001
ORNTAC_1	0.0
ME2	0.0
NADS1	0.0
MECDPDH2	0.0
MEPCT	0.0
NDPK7	0.0
NDPK3	0.0
NDPK4	0.0
NDPK5	0.0
NDPK1	0.0
NDPK2	0.0
PPTGS_BS	0.0
PPTT	0.0
PGI	0.28124999999999917
PYNP1	0.0
PHETA1	0.0
NDPK8	0.0
NH4t	-0.562500000000001
PTAr	1.1249999999999993
NNATr	0.0
SO4t2	0.0
PIt2r	0.0
NNDPR	0.0
NPHS	0.0
QULNS	0.0
PPA	0.0
PPCK	0.562500000000001
OCBT_1	0.0
PPM	0.0
PPM2	0.0
PPND	0.0
RNDR4	0.0
RPE	0.0
RPI	0.0
SADT	0.0
PPNDH	0.0
PRAGSr	0.0
PRAIS_1	0.0
PRATPP	0.0
PRASCSi	0.0
PRFGS_1	0.0
PRMICI	0.0
OMPDC	0.0
SHK3Dr	0.0
SHKK	0.0
PRPPS	0.0
SHSL2	0.0
SHSL4r	0.0
PSCVT	0.0
PSDC_BS	0.0
PSERT	0.0
ORPT	0.0
PYK	0.84375
OIVD1r	0.0
SUCBZL	0.0
SUCBZS	0.0
SUCD1	0.562500000000001
OIVD2	0.0
SUCD5_BS	0.562500000000001
SUCOAS	-0.562500000000001
OIVD3	0.0
P5CR	0.0
OXADC	0.0
TMDPP	0.0
UAGDP	0.0
TYRTA	0.0
TECA1S45	0.0
SULR_1	0.0
TALA	0.0
TECA4S_BS	0.0
THRS	0.0
TKT1	0.0
TKT2	0.0
TMDS	0.0
TPI	0.28124999999999895
TRDR	0.0
TRPt2r	0.0
UAAGDS	0.0
UAG2E	0.0
UAGPT3	0.0
UAG4E	0.0
UAGCVT	0.0
UAMAGS	0.0
UAMAS	0.0
UAPGR	0.0
UDCPDP	0.0
UGMDDS	0.0
UGT1_BS	0.0
UGT2_BS	0.0
UGT_BS	0.0
ACLS	0.0
ACHBS	0.0
3NUCLE1	0.0
NTD5	0.0
URIK1	0.0
URIDK2r_copy2	0.0
VALTA	0.0
UMPK	0.0
GLXO1	0.0
FACOAL140_ISO	0.0
FACOAL150_ISO	0.0
ACOAD3	0.0
ACOAD4_1	0.0
ACOAD5_1	0.0
ACOAD6	0.0
ACOAD7	0.0
DADNK	0.0
GLCpts	0.28124999999999917
HACD3	0.0
HACD4	0.0
HACD5	0.0
HACD6	0.0
HACD7	0.0
ICHORS	0.0
FACOAL170_ISO	0.0
FACOAL170_anteiso	0.0
FACOAL180_2	0.0
KAS13	0.0
FACOAL150_anteiso	0.0
FACOAL160_ISO	0.0
KAS3	0.0
KAS4	0.0
KAS6	0.0
KAS11	0.0
KAS12	0.0
PAPPT3	0.0
PDH	1.1249999999999993
PUNP4	0.0
PFK	0.28124999999999895
PRAMPC_1	0.0
PSP_L	0.0
PGAMT	0.0
TECA2S45	0.0
RNDR1	0.0
PGMT	0.0
PGCD	0.0
RNDR3	0.0
TECA3S45	0.0
GND	0.0
PGK	-0.562499999999998
PGM	-0.5624999999999979
PHCYT_BS	0.0
